TelegramFileName,Type,Topic,SeriesName,SequenceInSeries,SubTopic,Serial,OriginalAuthor,Location/Online,Sheikh,DateInArabic,DateInGreg,DayOfWeek,ClipLength,Category,MatchedBy,doubtsStatus
AUDIO-2026-02-02-17-40-44.m4a,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,5,الصلاة بجامع الورودبحي الورود بجدة,الخامس عشر,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,03/02/2026,Tuesday,N/A,Hadeeth,Manual-style (1),"Day mismatch: Tuesday (expected: Sunday, Monday)"
AUDIO-2026-01-18-20-41-26.m4a,Series,Not Available,الملخص شرح كتاب التوحيد,1,التوحيد🔸 للعلامة صالح الفوزان حفظه الله🔹 الدرس الثاني والثلاثون بجامع الورودبحي الورورد بجدة,الثاني والثلاثون,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,19/01/2026,Monday,N/A,Aqeedah,Manual-style (2),"Day mismatch: Monday (expected: Sunday, Tuesday)"
AUDIO-2026-01-20-16-42-37.m4a,Series,Not Available,الملخص شرح كتاب التوحيد,2,التوحيد🔸 للعلامة صالح الفوزان حفظه الله🔹 الدرس الثالث والثلاثون بجامع الورودبحي الورورد بجدة,الثالث والثلاثون,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,21/01/2026,Wednesday,N/A,Aqeedah,Manual-style (2),"Day mismatch: Wednesday (expected: Sunday, Tuesday)"
AUDIO-2026-01-27-16-46-05.m4a,Series,Not Available,الملخص شرح كتاب التوحيد,3,التوحيد🔸 للعلامة صالح الفوزان حفظه الله🔹 الدرس الرابع والثلاثون بجامع الورودبحي الورورد بجدة,الرابع والثلاثون,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,28/01/2026,Wednesday,N/A,Aqeedah,Manual-style (2),"Day mismatch: Wednesday (expected: Sunday, Tuesday)"
AUDIO-2026-02-01-22-01-50.m4a,Series,Not Available,الملخص شرح كتاب التوحيد,4,التوحيد🔸 للعلامة صالح الفوزان حفظه الله🔹 الدرس الخامس والثلاثون بجامع الورودبحي الورورد بجدة,الخامس والثلاثون,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,02/02/2026,Monday,N/A,Aqeedah,Manual-style (2),"Day mismatch: Monday (expected: Sunday, Tuesday)"
AUDIO-2026-02-03-20-59-37.m4a,Series,Not Available,الملخص شرح كتاب التوحيد,5,التوحيد تابع باب الشفاعة🔸 للعلامة صالح الفوزان حفظه الله🔹 الدرس السادس والثلاثون تابع باب الشفاعةبجا,السادس والثلاثون,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,04/02/2026,Wednesday,N/A,Aqeedah,Manual-style (2),"Day mismatch: Wednesday (expected: Sunday, Tuesday)"
AUDIO-2026-01-19-18-59-14.m4a,Series,Not Available,الملخص الفقهي,1,الصلاة (٨ )بحي الورورد بجدة - ٣٠/ ٧/ ١٤٤٧مع فضيلة الشيخحسن بن محمد منصور الدغريريحفظه الله ورعاه🎙 مد,التاسع والعشرون,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,19/01/2026,Monday,N/A,Fiqh,Manual-style (3),none
AUDIO-2026-01-21-21-03-49.m4a,Series,Not Available,الملخص الفقهي,2,الصلاة (٩)بحي الورورد بجدة -,الثلاثون بجامع,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,22/01/2026,Thursday,N/A,Fiqh,Manual-style (3),"Day mismatch: Thursday (expected: Monday, Wednesday)"
AUDIO-2026-01-26-21-35-21.m4a,Series,Not Available,الملخص الفقهي,3,الصلاة (١٠)بحي الورورد بجدة -,واحد و,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,27/01/2026,Tuesday,N/A,Fiqh,Manual-style (3),"Day mismatch: Tuesday (expected: Monday, Wednesday)"
AUDIO-2026-01-28-16-43-27.m4a,Series,Not Available,الملخص الفقهي,4,الصلاة (١١)بحي الورورد بجدة -,الثاني و,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,29/01/2026,Thursday,N/A,Fiqh,Manual-style (3),"Day mismatch: Thursday (expected: Monday, Wednesday)"
AUDIO-2026-02-02-17-51-49.m4a,Series,Not Available,الملخص الفقهي,5,الصلاة (١٢)بحي الورورد بجدة -,الثالث و,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,03/02/2026,Tuesday,N/A,Fiqh,Manual-style (3),"Day mismatch: Tuesday (expected: Monday, Wednesday)"
AUDIO-2026-01-18-21-18-16.m4a,Series,Not Available,الأفنان الندية,1,الفرائض باب من يرث بالنسب🔸 للعلامة زيد بن هادي مدخليرحمه الله🔹 الدرس الرابع في كتاب الفرائض باب من ي,الرابع في,زيد بن هادي المدخلي,Online,حسن بن محمد منصور الدغريري,Not Available,19/01/2026,Monday,N/A,Fiqh,Manual-style (4),none
AUDIO-2026-01-26-21-28-55.m4a,Series,Not Available,الأفنان الندية,2,الفرائض🔸 للعلامة زيد بن هادي مدخليرحمه الله🔹 الدرس الخامس في كتاب الفرائضعن بُعد - ١٤٤٧/٨/٧.مع فضيلة,الخامس في,زيد بن هادي المدخلي,Online,حسن بن محمد منصور الدغريري,Not Available,27/01/2026,Tuesday,N/A,Fiqh,Manual-style (4),"Day mismatch: Tuesday (expected: Sunday, Monday)"
AUDIO-2026-02-01-22-04-15.m4a,Series,Not Available,الأفنان الندية,3,الفرائض🔸 للعلامة زيد بن هادي مدخليرحمه الله🔹 الدرس السادس في كتاب الفرائضعن بُعد - ١٤٤٧/٨/١٣.مع فضيل,السادس في,زيد بن هادي المدخلي,Online,حسن بن محمد منصور الدغريري,Not Available,02/02/2026,Monday,N/A,Fiqh,Manual-style (4),none
AUDIO-2026-01-20-21-21-11.m4a,Series,Not Available,معارج القبول شرح منظومة سلم الوصول,1,Not Available,السابع عشر,حافظ حكمي,Online,حسن بن محمد منصور الدغريري,Not Available,21/01/2026,Wednesday,N/A,Aqeedah,Manual-style (5),Day mismatch: Wednesday (expected: Tuesday)
AUDIO-2026-01-27-22-09-23.m4a,Series,Not Available,معارج القبول شرح منظومة سلم الوصول,2,Not Available,الثامن عشر,حافظ حكمي,Online,حسن بن محمد منصور الدغريري,Not Available,28/01/2026,Wednesday,N/A,Aqeedah,Manual-style (5),Day mismatch: Wednesday (expected: Tuesday)
AUDIO-2026-02-03-21-22-47.m4a,Series,Not Available,معارج القبول شرح منظومة سلم الوصول,3,Not Available,التاسع عشر,حافظ حكمي,Online,حسن بن محمد منصور الدغريري,Not Available,04/02/2026,Wednesday,N/A,Aqeedah,Manual-style (5),Day mismatch: Wednesday (expected: Tuesday)
AUDIO-2026-01-21-21-52-57.m4a,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,1,الرضاع🔸 للعلامة أحمد بن يحي النجميرحمه الله🔹 الدرس الاول,الاول  عن,أحمد بن يحيى النجمي,Online,حسن بن محمد منصور الدغريري,Not Available,22/01/2026,Thursday,N/A,Hadeeth,Manual-style (1),Day mismatch: Thursday (expected: Wednesday)
AUDIO-2026-01-28-21-32-25.m4a,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,2,الرضاع🔸 للعلامة أحمد بن يحي النجميرحمه الله🔹 الدرس الثاني,الثاني  عن,أحمد بن يحيى النجمي,Online,حسن بن محمد منصور الدغريري,Not Available,29/01/2026,Thursday,N/A,Hadeeth,Manual-style (1),Day mismatch: Thursday (expected: Wednesday)
AUDIO-2026-01-23-22-56-19.m4a,Series,Not Available,صحيح البخاري,1,الايمان🔸 للإمام محمد بن إسماعيل البخاري رحمه الله🔹 الدرس الثاني نهاية كتاب الايمانبجامع الورودبحي ال,الثاني نهاية,محمد بن إسماعيل البخاري,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,25/01/2026,Sunday,N/A,Hadeeth,Manual-style (8),Day mismatch: Sunday (expected: Friday)
AUDIO-2026-01-30-17-48-49.m4a,Series,Not Available,صحيح البخاري,2,العلم🔸 للإمام محمد بن إسماعيل البخاري رحمه الله🔹 الدرس الثالث,الثالث   كتاب,محمد بن إسماعيل البخاري,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,01/02/2026,Sunday,N/A,Hadeeth,Manual-style (8),Day mismatch: Sunday (expected: Friday)
AUDIO-2026-01-24-21-05-52.m4a,Series,Not Available,المورد العذب الزلال,1,Not Available,التاسع بجامع,أحمد النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,25/01/2026,Sunday,N/A,Aqeedah,Manual-style (9),Day mismatch: Sunday (expected: Saturday)
AUDIO-2026-02-01-07-22-28.m4a,Series,Not Available,المورد العذب الزلال,2,Not Available,العاشر بجامع,أحمد النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,01/02/2026,Sunday,N/A,Aqeedah,Manual-style (9),Day mismatch: Sunday (expected: Saturday)
AUDIO-2026-01-24-12-47-04.m4a,Series,Not Available,التحفة النجمية بشرح الأربعين النووية,1,Not Available,الخامس بجامع,أحمد النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,25/01/2026,Sunday,N/A,Hadeeth,Manual-style (10),Day mismatch: Sunday (expected: Saturday)
AUDIO-2026-01-31-09-16-41.m4a,Series,Not Available,التحفة النجمية بشرح الأربعين النووية,2,Not Available,السادس بجامع,أحمد النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,01/02/2026,Sunday,N/A,Hadeeth,Manual-style (10),Day mismatch: Sunday (expected: Saturday)
AUDIO-2026-01-24-12-46-00.m4a,Series,Not Available,مختصر السيرة النبوية,1,Not Available,الدرس الرابع,محمد بن عبدالوهاب,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,25/01/2026,Sunday,N/A,Seerah,Manual-style (11),Day mismatch: Sunday (expected: Saturday)
AUDIO-2026-01-31-09-20-02.m4a,Series,Not Available,مختصر السيرة النبوية,2,Not Available,الدرس الخامس,محمد بن عبدالوهاب,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,01/02/2026,Sunday,N/A,Seerah,Manual-style (11),Day mismatch: Sunday (expected: Saturday)
AUDIO-2026-01-24-12-40-49.m4a,Series,Not Available,تنبيه الانام على ما في كتاب سبل السلام من الفوائد والأحكام,1,سبل السلام من الفوائد والأحكامكتاب الطهارة🔸 للعلامة أحمد النجمي رحمه الله🔹 الدرس الخامس من كتاب الطه,الخامس من,أحمد النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,25/01/2026,Sunday,N/A,Fiqh,Manual-style (12),Day mismatch: Sunday (expected: Saturday)
