SeriesName,Location,DayOfWeek,Category,Author,LessonNumber,RecordingDate,TelegramFileName,Type,Topic,SubTopic,Serial,DateInArabic,DateInGreg,ClipLength,doubtsStatus
Unknown,جامع الورود,Monday,Other,Not Available,3,2025-12-08,AUD-20251208-WA0004.m4a,Series,Not Available,Not Available,الخامس,٨ / ٦ / ١٤٤٧,08.12.2025,34:44,Series name not clearly identified
Unknown,جامع الورود,Monday,Other,Not Available,4,2025-12-08,AUD-20251208-WA0005.m4a,Series,Not Available,Not Available,السادس,١٦ / ٦ / ١٤٤٧,08.12.2025,56:16,Series name not clearly identified
Unknown,جامع الورود,Monday,Other,Not Available,5,2025-12-15,AUD-20251215-WA0002.m4a,Series,Not Available,Not Available,السابع,٢٢ / ٦ / ١٤٤٧,15.12.2025,39:52,Series name not clearly identified
Unknown,جامع الورود,Monday,Other,Not Available,6,2025-12-15,AUD-20251215-WA0003.m4a,Series,Not Available,Not Available,الخامس,٢٢ / ٦ / ١٤٤٧,15.12.2025,48:06,Series name not clearly identified; Original author not found
Unknown,جامع الورود,Monday,Other,Not Available,7,2025-12-22,AUDIO-2025-12-22-07-20-10.m4a,Series,Not Available,كتاب سبل السلام من الفوائد والأحكام,الاول من كتاب الطهارة,٢٩ / ٦ / ١٤٤٧,22.12.2025,47:59,Series name not clearly identified
Unknown,جامع الورود,Monday,Other,Not Available,8,2025-12-22,AUDIO-2025-12-22-07-20-10.m4a,Series,Not Available,Not Available,الاول,٢٩ / ٦ / ١٤٤٧,22.12.2025,52:42,Series name not clearly identified
Unknown,جامع الورود,Monday,Other,Not Available,9,2025-12-22,AUDIO-2025-12-22-07-20-10.m4a,Series,Not Available,Not Available,الاول,٢٩ / ٦ / ١٤٤٧,22.12.2025,43:13,Series name not clearly identified; Original author not found
Unknown,جامع الورود,Monday,Other,Not Available,10,2025-12-22,AUDIO-2025-12-22-14-05-28.m4a,Series,Not Available,Not Available,الثامن,٢٩ / ٦ / ١٤٤٧,22.12.2025,33:42,Series name not clearly identified
Unknown,جامع الورود,Monday,Other,Not Available,11,2025-12-22,AUDIO-2025-12-22-14-05-28.m4a,Series,Not Available,Not Available,السادس,٢٩ / ٦ / ١٤٤٧,22.12.2025,35:22,Series name not clearly identified; Original author not found
Unknown,جامع الورود,Friday,Other,Not Available,1,2025-10-17,AUD-20251017-WA0000.m4a,Khutba,وقفات مع السيرة النبوية(٢),Not Available,Not Available,الجمعة ٢٥/ ٤ / ١٤٤٧,17.10.2025,09:44,none
Unknown,جامع الورود,Friday,Other,Not Available,2,2025-11-28,AUDIO-2025-11-28-23-15-18.m4a,Khutba,السيرة النبوية (٦),Not Available,Not Available,٧ / ٦ / ١٤٤٧هـ,28.11.2025,12:16,none
Unknown,جامع الورود,Friday,Other,Not Available,3,2025-12-19,AUDIO-2025-12-19-17-36-02.m4a,Khutba,وقفات مع السيرة النبوية (٧),Not Available,Not Available,الجمعة ٢٨ / ٦ / ١٤٤٧,19.12.2025,10:27,none
Unknown,جامع الورود,Friday,Other,Not Available,4,2025-12-26,AUDIO-2025-12-26-14-10-13.m4a,Khutba,بدع شهر رجب,Not Available,Not Available,الجمعة ٦ / ٧ / ١٤٤٧,26.12.2025,09:40,none
Unknown,جامع الورود,Friday,Other,Not Available,5,2026-01-02,AUD-20260102-WA0003.mp3,Khutba,وقفات مع السيرة النبوية (٨),Not Available,Not Available,الجمعة ١٢ / ٧ / ١٤٤٧,02.01.2026,12:27,none
Unknown,جامع الورود,Friday,Other,Not Available,6,2026-01-02,AUD-20260102-WA0002.m4a,Series,Not Available,كتاب العلم والإيمان (من حديث ١,Not Available,١٣/ ٧/ ١٤٤٧,02.01.2026,1:07,Series name not clearly identified; Serial number not found; Original author not found
Unknown,جامع الورود,Friday,Other,Not Available,7,2026-01-16,AUDIO-2026-01-16-14-51-11.m4a,Khutba,وقفات مع السيرة النبوية (٩),Not Available,Not Available,الجمعة ٢٧ / ٧ / ١٤٤٧,16.01.2026,12:27,none
الأفنان الندية,Online,Saturday,Fiqh,زيد بن هادي المدخلي,1,2025-11-29,AUD-20251129-WA0010.m4a,Series,Not Available,كتاب البيوع,الثالث والعشرون,Not Available,30.11.2025,26:07,Arabic date not found
الأفنان الندية,Online,Saturday,Fiqh,زيد بن هادي المدخلي,2,2025-12-13,AUD-20251213-WA0002.m4a,Series,Not Available,باب الربا,التاسع,Not Available,13.12.2025,31:29,Arabic date not found
الأفنان الندية,Online,Saturday,Fiqh,زيد بن هادي المدخلي,3,2025-12-13,AUD-20251213-WA0003.m4a,Series,Not Available,باب الربا,الرابع والعشرون,Not Available,13.12.2025,14:21,Arabic date not found
الأفنان الندية,Online,Saturday,Fiqh,زيد بن هادي المدخلي,4,2025-12-13,AUD-20251213-WA0005.m4a,Series,Not Available,باب الربا,الخامس والعشرون,Not Available,13.12.2025,10:30,Arabic date not found
الأفنان الندية,Online,Saturday,Fiqh,زيد بن هادي المدخلي,5,2025-12-13,AUD-20251213-WA0006.m4a,Series,Not Available,باب الربا,الثامن والعشرون,Not Available,13.12.2025,16:12,Arabic date not found
الأفنان الندية,Online,Saturday,Fiqh,زيد بن هادي المدخلي,6,2025-12-13,AUD-20251213-WA0004.m4a,Series,Not Available,باب الهبة والعمرى والركبة,التاسع والعشرون,Not Available,13.12.2025,41:02,Arabic date not found
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Monday,Hadeeth,أحمد النجمي,1,2025-12-08,AUD-20251208-WA0007.m4a,Series,Not Available,كتاب الصلاة بجامع الورود,الرابع من كتاب الصلاة,١٧ / ٦ / ١٤٤٧,18.12.2025,44:32,none
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Monday,Hadeeth,أحمد النجمي,2,2025-12-22,AUDIO-2025-12-22-14-05-29.m4a,Series,Not Available,كتاب الصلاة بجامع الورود,السابع من كتاب الصلاة,١ /٧ /١٤٤٧,22.12.2025,42:29,none
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Monday,Hadeeth,أحمد النجمي,3,2025-12-22,AUDIO-2025-12-22-17-23-19.m4a,Series,Not Available,كتاب الصلاة بجامع الورود,السادس من كتاب الصلاة,٢٤ /٦ /١٤٤٧,22.12.2025,50:34,none
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Monday,Hadeeth,أحمد النجمي,4,2025-12-22,AUDIO-2025-12-22-17-31-28.m4a,Series,Not Available,كتاب الصلاة بجامع الورود,الثامن من كتاب الصلاة,٢ /٧ /١٤٤٧,22.12.2025,29:39,none
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Monday,Hadeeth,أحمد النجمي,5,2025-12-29,AUDIO-2025-12-29-20-23-21.m4a,Series,Not Available,كتاب الصلاة بجامع الورود,العاشر من كتاب الصلاة,٩ /٧ /١٤٤٧,30.12.2025,53:49,none
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Monday,Hadeeth,أحمد النجمي,6,2026-01-19,AUDIO-2026-01-19-18-59-34.m4a,Series,Not Available,كتاب الصلاة بجامع الورود,الثاني عشر من كتاب الصلاة,٣٠ /٧ /١٤٤٧,19.01.2026,29:30,none
الأفنان الندية,Online,Monday,Fiqh,زيد بن هادي المدخلي,1,2025-09-01,AUD-20250901-WA0001.m4a,Series,Not Available,باب الربا,الثامن,Not Available,13.12.2025,27:52,Arabic date not found
الأفنان الندية,Online,Monday,Fiqh,زيد بن هادي المدخلي,2,2025-12-22,AUDIO-2025-12-22-14-05-29.m4a,Series,Not Available,كتاب البيوع باب الوقف,الواحد والثلاثون,٢٤ / ٦ / ١٤٤٧,22.12.2025,19:41,none
الأفنان الندية,Online,Monday,Fiqh,زيد بن هادي المدخلي,3,2025-12-22,AUDIO-2025-12-22-14-05-30.m4a,Series,Not Available,كتاب الفرائض,الاول,١ /٧ /١٤٤٧,22.12.2025,21:26,none
الأفنان الندية,Online,Monday,Fiqh,زيد بن هادي المدخلي,4,2025-12-22,AUDIO-2025-12-22-21-23-10.m4a,Series,Not Available,كتاب الفرائض باب الوصية,الثاني,١٤٤٧/٧/٢,22.12.2025,20:31,none
الأفنان الندية,Online,Monday,Fiqh,زيد بن هادي المدخلي,5,2025-12-29,AUDIO-2025-12-29-22-32-50.m4a,Series,Not Available,كتاب الفرائض باب أنواع الإرث,الثالث,١٤٤٧/٧/٩,30.12.2025,46:48,none
الملخص الفقهي,جامع الورود,Wednesday,Fiqh,صالح الفوزان,1,2025-10-29,AUD-20251029-WA0004.m4a,Series,Not Available,Not Available,الرابع عشر,٥ / ٥ / ١٤٤٧,29.10.2025,05:56,none
الملخص الفقهي,جامع الورود,Wednesday,Fiqh,صالح الفوزان,2,2025-12-17,AUD-20251217-WA0002.m4a,Series,Not Available,كتاب الصلاة ( ٢ ),الرابع والعشرون,١٩ / ٦ / ١٤٤٧,18.12.2025,16:01,none
الملخص الفقهي,جامع الورود,Wednesday,Fiqh,صالح الفوزان,3,2025-12-17,AUD-20251217-WA0003.m4a,Series,Not Available,كتاب الصلاة ( ٣ ),الخامس والعشرون,٢٤ / ٦ / ١٤٤٧,18.12.2025,16:37,none
الملخص الفقهي,جامع الورود,Wednesday,Fiqh,صالح الفوزان,4,2025-12-24,AUDIO-2025-12-24-17-02-41.m4a,Series,Not Available,كتاب الصلاة (٥ ),السادس والعشرون,٤ / ٧/ ١٤٤٧,24.12.2025,19:29,none
الملخص الفقهي,جامع الورود,Wednesday,Fiqh,صالح الفوزان,5,2025-12-31,AUDIO-2025-12-31-17-11-22.m4a,Series,Not Available,كتاب الصلاة (٧ ),الثامن والعشرون,١١/ ٧/ ١٤٤٧,01.01.2026,19:26,none
الملخص شرح كتاب التوحيد,جامع الورود,Monday,Aqeedah,صالح الفوزان,1,2025-12-08,AUD-20251208-WA0006.m4a,Series,Not Available,كتاب التوحيد,العشرون,٢٥ / ٥ / ١٤٤٧,08.12.2025,08:14,none
الملخص شرح كتاب التوحيد,جامع الورود,Monday,Aqeedah,صالح الفوزان,2,2025-12-08,AUD-20251208-WA0009.m4a,Series,Not Available,كتاب التوحيد,الواحد والعشرون,١١ / ٦ / ١٤٤٧,09.12.2025,11:28,none
الملخص شرح كتاب التوحيد,جامع الورود,Monday,Aqeedah,صالح الفوزان,3,2025-12-08,AUD-20251208-WA0010.m4a,Series,Not Available,كتاب التوحيد,الثاني والعشرون,Not Available,09.12.2025,13:54,Arabic date not found
الملخص شرح كتاب التوحيد,جامع الورود,Monday,Aqeedah,صالح الفوزان,4,2025-12-22,AUDIO-2025-12-22-14-05-29.m4a,Series,Not Available,كتاب التوحيد,الثامن والعشرون,١ /٧ / ١٤٤٧,22.12.2025,12:04,none
الملخص شرح كتاب التوحيد,جامع الورود,Monday,Aqeedah,صالح الفوزان,5,2025-12-22,AUDIO-2025-12-22-17-22-12.m4a,Series,Not Available,كتاب التوحيد,السابع والعشرون,٦/٢٥/ ١٤٤٧,22.12.2025,19:35,none
الأفنان الندية,Online,Sunday,Fiqh,زيد بن هادي المدخلي,1,2025-10-12,AUD-20251012-WA0011.m4a,Series,Not Available,باب السلم والقرض,الرابع عشر,Not Available,15.10.2025,23:00,Arabic date not found
الأفنان الندية,Online,Sunday,Fiqh,زيد بن هادي المدخلي,2,2025-10-12,AUD-20251012-WA0037.m4a,Series,Not Available,باب الحوالة والضمان,السابع عشر,Not Available,17.10.2025,16:31,Arabic date not found
الأفنان الندية,Online,Sunday,Fiqh,زيد بن هادي المدخلي,3,2025-10-26,AUD-20251026-WA0007.m4a,Series,Not Available,كتاب البيوع,الثامن عشر,Not Available,26.10.2025,09:33,Arabic date not found
الأفنان الندية,Online,Sunday,Fiqh,زيد بن هادي المدخلي,4,2026-01-18,AUDIO-2026-01-18-21-18-16.m4a,Series,Not Available,كتاب الفرائض باب من يرث بالنسب,الرابع,١٤٤٧/٧/٢٩,19.01.2026,17:21,none
الملخص شرح كتاب التوحيد,جامع الورود,Wednesday,Aqeedah,صالح الفوزان,1,2025-10-29,AUD-20251029-WA0002.m4a,Series,Not Available,كتاب التوحيد,الرابع عشر,٤ / ٥ / ١٤٤٧,29.10.2025,16:22,none
الملخص شرح كتاب التوحيد,جامع الورود,Wednesday,Aqeedah,صالح الفوزان,2,2025-10-29,Ringtone_AUD-20251029-WA0006.mp3,Series,Not Available,كتاب التوحيد,الخامس عشر,٦ / ٥ / ١٤٤٧,29.10.2025,07:22,none
الملخص شرح كتاب التوحيد,جامع الورود,Wednesday,Aqeedah,صالح الفوزان,3,2025-12-17,AUD-20251217-WA0001.m4a,Series,Not Available,كتاب التوحيد,السادس والعشرون,Not Available,18.12.2025,14:17,Arabic date not found
الملخص شرح كتاب التوحيد,جامع الورود,Wednesday,Aqeedah,صالح الفوزان,4,2025-12-24,AUDIO-2025-12-24-17-02-49.m4a,Series,Not Available,كتاب التوحيد,التاسع والعشرون,٣ / ٧ /١٤٤٧,24.12.2025,08:16,none
منظومة سلم الوصول,Online,Saturday,Aqeedah,حافظ حكمي,1,2025-12-13,AUD-20251213-WA0007.m4a,Series,Not Available,Not Available,الثاني,Not Available,13.12.2025,12:50,Arabic date not found
منظومة سلم الوصول,Online,Saturday,Aqeedah,حافظ حكمي,2,2025-12-13,AUD-20251213-WA0008.m4a,Series,Not Available,Not Available,الخامس,Not Available,13.12.2025,16:16,Arabic date not found
منظومة سلم الوصول,Online,Saturday,Aqeedah,حافظ حكمي,3,2025-12-13,AUD-20251213-WA0009.m4a,Series,Not Available,Not Available,العاشر,Not Available,13.12.2025,18:14,Arabic date not found
منظومة سلم الوصول,Online,Saturday,Aqeedah,حافظ حكمي,4,2025-12-13,AUD-20251213-WA0010.m4a,Series,Not Available,Not Available,الرابع عشر,Not Available,13.12.2025,26:10,Arabic date not found
Unknown,جامع الورود,Sunday,Other,Not Available,1,2025-10-12,AUD-20251012-WA0020.m4a,Khutba,وقفات مع السيرة النبوية(١),Not Available,Not Available,الجمعة ١١/ ٤ / ١٤٤٧,16.10.2025,11:04,none
Unknown,جامع الورود,Sunday,Other,Not Available,2,2025-10-26,AUD-20251026-WA0003.m4a,Khutba,وقفات مع السيرة النبوية(٣),Not Available,Not Available,الجمعة ٥/ ٢ / ١٤٤٧,26.10.2025,10:45,none
Unknown,جامع الورود,Sunday,Other,Not Available,3,2025-12-07,Ringtone_AUD-20251207-WA0004.mp3,Khutba,أهمية النزاهة والأمانة، ومكافحة الفساد المالي,Not Available,Not Available,1447/6/14هـ,08.12.2025,10:07,none
Unknown,جامع الورود,Tuesday,Other,أحمد النجمي,1,2025-11-11,AUD-20251111-WA0001.m4a,Series,Not Available,Not Available,الثالث,١٧ / ٥ / ١٤٤٧,09.12.2025,41:24,Series name not clearly identified
Unknown,جامع الورود,Tuesday,Other,أحمد النجمي,2,2025-12-02,AUD-20251202-WA0001.m4a,Series,Not Available,Not Available,الثاني,٢٤ / ٥ / ١٤٤٧,02.12.2025,34:17,Series name not clearly identified; Original author not found
Unknown,جامع الورود,Tuesday,Other,أحمد النجمي,3,2025-12-02,AUD-20251202-WA0002.m4a,Series,Not Available,Not Available,الثالث,٨ / ٦ / ١٤٤٧,02.12.2025,59:22,Series name not clearly identified; Original author not found
الأفنان الندية,Online,Tuesday,Fiqh,زيد بن هادي المدخلي,1,2025-10-21,AUD-20251021-WA0026.m4a,Series,Not Available,كتاب البيوع,التاسع عشر,Not Available,26.10.2025,17:12,Arabic date not found
الأفنان الندية,Online,Tuesday,Fiqh,زيد بن هادي المدخلي,2,2025-10-21,AUD-20251021-WA0036.m4a,Series,Not Available,كتاب البيوع,العشرون,Not Available,26.10.2025,18:56,Arabic date not found
الأفنان الندية,Online,Tuesday,Fiqh,زيد بن هادي المدخلي,3,2025-12-02,AUD-20251202-WA0007.m4a,Series,Not Available,كتاب البيوع,السادس والعشرون,Not Available,02.12.2025,24:15,Arabic date not found
الأفنان الندية,Online,Wednesday,Fiqh,زيد بن هادي المدخلي,1,2025-10-29,AUD-20251029-WA0000.m4a,Series,Not Available,كتاب البيوع,الواحد والعشرون,Not Available,29.10.2025,25:02,Arabic date not found
الأفنان الندية,Online,Wednesday,Fiqh,زيد بن هادي المدخلي,2,2025-12-17,AUD-20251217-WA0005.m4a,Series,Not Available,باب الأرض الموات,الثلاثون,Not Available,18.12.2025,11:39,Arabic date not found
الأفنان الندية,Online,Wednesday,Fiqh,زيد بن هادي المدخلي,3,2025-12-17,AUD-20251217-WA0004.m4a,Series,Not Available,باب الأرض الموات,الواحد والثلاثون,Not Available,18.12.2025,19:41,Arabic date not found
الملخص الفقهي,جامع الورود,Thursday,Fiqh,صالح الفوزان,1,2025-12-11,AUD-20251211-WA0003.m4a,Series,Not Available,Not Available,السابع عشر,١٤ / ٥ / ١٤٤٧,11.12.2025,12:52,none
الملخص الفقهي,جامع الورود,Thursday,Fiqh,صالح الفوزان,2,2025-12-11,AUD-20251211-WA0007.m4a,Series,Not Available,Not Available,التاسع عشر,٢٦ / ٥ / ١٤٤٧,11.12.2025,13:20,none
الملخص الفقهي,جامع الورود,Thursday,Fiqh,صالح الفوزان,3,2025-12-11,Ringtone_AUD-20251211-WA0008.mp3,Series,Not Available,كتاب الصلاة ( ١ ),الثالث والعشرون,١٧ / ٦ / ١٤٤٧,11.12.2025,09:07,none
الملخص الفقهي,جامع الورود,Monday,Fiqh,صالح الفوزان,1,2025-12-22,AUDIO-2025-12-22-17-25-03.m4a,Series,Not Available,كتاب الصلاة ( ٤ ),السادس والعشرون,٢ / ٧/ ١٤٤٧,22.12.2025,10:17,none
الملخص الفقهي,جامع الورود,Monday,Fiqh,صالح الفوزان,2,2025-12-29,AUDIO-2025-12-29-20-19-23.m4a,Series,Not Available,كتاب الصلاة (٦ ),السابع والعشرون,٩ / ٧/ ١٤٤٧,30.12.2025,10:29,none
الملخص الفقهي,جامع الورود,Monday,Fiqh,صالح الفوزان,3,2026-01-19,AUDIO-2026-01-19-18-59-14.m4a,Series,Not Available,كتاب الصلاة (٨ ),التاسع والعشرون,٣٠/ ٧/ ١٤٤٧,19.01.2026,17:21,none
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Sunday,Hadeeth,أحمد بن يحيى النجمي,1,2025-10-12,AUD-20251012-WA0033.m4a,Series,Not Available,كتاب النكاح (٥),السادس والتسعون,Not Available,17.10.2025,16:15,Arabic date not found
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Sunday,Hadeeth,أحمد بن يحيى النجمي,2,2025-12-28,AUDIO-2025-12-28-19-49-38.m4a,Series,Not Available,كتاب الصلاة بجامع الورود,التاسع من كتاب الصلاة,٨ /٧ /١٤٤٧,28.12.2025,54:29,none
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Sunday,Hadeeth,أحمد بن يحيى النجمي,3,2026-01-18,AUDIO-2026-01-18-20-40-12.m4a,Series,Not Available,كتاب الصلاة بجامع الورود,الحادي عشر من كتاب الصلاة,٢٩ /٧ /١٤٤٧,19.01.2026,32:54,none
منظومة سلم الوصول,Online,Tuesday,Aqeedah,حافظ حكمي,1,2025-10-21,AUD-20251021-WA0054.m4a,Series,Not Available,Not Available,الثامن,Not Available,26.10.2025,38:24,Arabic date not found
منظومة سلم الوصول,Online,Tuesday,Aqeedah,حافظ حكمي,2,2025-10-28,AUD-20251028-WA0003.m4a,Series,Not Available,Not Available,التاسع,Not Available,29.10.2025,20:27,Arabic date not found
منظومة سلم الوصول,Online,Tuesday,Aqeedah,حافظ حكمي,3,2025-12-30,AUDIO-2025-12-30-21-23-04.m4a,Series,Not Available,Not Available,السادس عشر,١٠ /٧/ ١٤٤٧,31.12.2025,18:49,none
الأفنان الندية,Online,Thursday,Fiqh,زيد بن هادي المدخلي,1,2025-11-27,AUD-20251127-WA0003.m4a,Series,Not Available,كتاب البيوع,الثاني والعشرون,Not Available,27.11.2025,12:14,Arabic date not found
الأفنان الندية,Online,Thursday,Fiqh,زيد بن هادي المدخلي,2,2025-12-04,AUD-20251204-WA0005.m4a,Series,Not Available,كتاب البيوع,السابع والعشرون,Not Available,08.12.2025,16:12,Arabic date not found
التفسير الميسر,جامع الورود,Monday,Other,نخبة من أهل العلم,1,2025-12-15,AUD-20251215-WA0000.m4a,Series,Not Available,سورة الانشقاق,الثالث عشر,Not Available,15.12.2025,09:04,Arabic date not found
التفسير الميسر,جامع الورود,Monday,Other,نخبة من أهل العلم,2,2025-12-22,AUDIO-2025-12-22-14-05-28.m4a,Series,Not Available,سورة البروج,الرابع عشر,٢٩ / ٦ / ١٤٤٧,22.12.2025,22:17,none
الملخص شرح كتاب التوحيد,جامع الورود,Sunday,Aqeedah,صالح الفوزان,1,2025-12-28,AUDIO-2025-12-28-19-47-31.m4a,Series,Not Available,كتاب التوحيد,الثلاثون,٨ /٧/ ١٤٤٧,28.12.2025,09:14,none
الملخص شرح كتاب التوحيد,جامع الورود,Sunday,Aqeedah,صالح الفوزان,2,2026-01-18,AUDIO-2026-01-18-20-41-26.m4a,Series,Not Available,كتاب التوحيد,الثاني والثلاثون,٢٩ /٧/ ١٤٤٧,19.01.2026,13:35,none
تأسيس الأحكام شرح عمدة الأحكام,Online,Wednesday,Hadeeth,أحمد بن يحيى النجمي,1,2025-10-22,AUD-20251022-WA0024.m4a,Series,Not Available,كتاب النكاح: باب الصداق .,السابع,Not Available,26.10.2025,20:30,Arabic date not found
تأسيس الأحكام شرح عمدة الأحكام,Online,Wednesday,Hadeeth,أحمد بن يحيى النجمي,2,2025-12-31,AUDIO-2025-12-31-23-27-32.m4a,Series,Not Available,كتاب اللعان,الثالث,١٤٤٧/٧/١١,01.01.2026,21:03,none
تأسيس الأحكام شرح عمدة الأحكام,Online,Monday,Hadeeth,أحمد بن يحيى النجمي,1,2025-12-08,AUD-20251208-WA0011.m4a,Series,Not Available,كتاب الطلاق: باب العدة .,الثامن,Not Available,09.12.2025,25:14,Arabic date not found
تأسيس الأحكام شرح عمدة الأحكام,Online,Monday,Hadeeth,أحمد بن يحيى النجمي,2,2025-12-22,AUDIO-2025-12-22-07-20-24.m4a,Series,Not Available,كتاب اللعان,الاول,٢٦ / ٦ / ١٤٤٧,22.12.2025,29:17,none
شرح السنة,جامع الورود,Monday,Aqeedah,أحمد النجمي,1,2025-12-15,AUD-20251215-WA0004.m4a,Series,Not Available,Not Available,الحادي عشر,٢٢ / ٦ / ١٤٤٧,18.12.2025,48:15,none
شرح السنة,جامع الورود,Monday,Aqeedah,أحمد النجمي,2,2025-12-22,AUDIO-2025-12-22-14-05-29.m4a,Series,Not Available,Not Available,الثاني عشر,٢٩ / ٦ / ١٤٤٧,22.12.2025,48:06,none
